lu_id	country_region	province_state	date	confirmed	recovered	deaths	tested	tested_reported	tested_announced	tested_extrapolated	tested_is_extrapolated	lag_21_confirmed	probably_recovered	active	lag_1_confirmed	lag_1_recovered	lag_1_deaths	lag_1_tested	lag_1_active	lag_1_tested_is_extrapolated	lag_7_confirmed	lag_7_recovered	lag_7_deaths	lag_7_tested	lag_7_active	lag_7_tested_is_extrapolated
154	Germany		2020-07-13	200180	185100	9074	6940792.0	0.0	6376054.0	564738.0	1	191768.0	0.0	6006.0	199919.0	184414.0	9071.0	6870200.0	6434.0	1.0	198064.0	182160.0	9022.0	6446646.0	6882.0	1.0
172	Ghana		2020-07-13	24988	21067	139	333879.0	0.0	328383.0	5496.0	1	14154.0	0.0	3782.0	24518.0	20187.0	139.0	332505.0	4192.0	1.0	21077.0	16070.0	129.0	322910.0	4878.0	0.0
173	Greece		2020-07-13	3826	1374	193	382452.0	382452.0	382452.0	0.0	0	3287.0	1720.0	539.0	3803.0	1374.0	193.0	373932.0	537.0	0.0	3562.0	1374.0	192.0	340328.0	428.0	0.0
174	Grenada		2020-07-13	23	23	0	0.0	0.0	0.0	0.0	1	23.0	0.0	0.0	23.0	23.0	0.0	0.0	0.0	1.0	23.0	23.0	0.0	0.0	0.0	1.0
175	Guatemala		2020-07-13	29742	4321	1244	0.0	0.0	0.0	0.0	1	13769.0	8204.0	15973.0	29355.0	4214.0	1219.0	0.0	16210.0	1.0	23972.0	3429.0	981.0	0.0	13700.0	1.0
176	Guinea		2020-07-13	6141	4862	37	0.0	0.0	0.0	0.0	1	4988.0	89.0	1153.0	6141.0	4862.0	37.0	0.0	1153.0	1.0	5610.0	4522.0	34.0	0.0	1038.0	1.0
177	Guinea-Bissau		2020-07-13	1842	773	26	0.0	0.0	0.0	0.0	1	1556.0	757.0	286.0	1842.0	773.0	26.0	0.0	301.0	1.0	1790.0	760.0	25.0	0.0	298.0	1.0
178	Guyana		2020-07-13	300	155	17	0.0	0.0	0.0	0.0	1	205.0	33.0	95.0	297.0	154.0	17.0	0.0	113.0	1.0	273.0	120.0	15.0	0.0	114.0	1.0
179	Haiti		2020-07-13	6727	3022	141	0.0	0.0	0.0	0.0	1	5211.0	2048.0	1516.0	6727.0	2924.0	139.0	0.0	1650.0	1.0	6371.0	1824.0	113.0	0.0	1930.0	1.0
180	Holy See		2020-07-13	12	12	0	0.0	0.0	0.0	0.0	1	12.0	0.0	0.0	12.0	12.0	0.0	0.0	0.0	1.0	12.0	12.0	0.0	0.0	0.0	1.0
181	Honduras		2020-07-13	28579	3123	789	0.0	0.0	0.0	0.0	1	13356.0	9444.0	15223.0	28090.0	2957.0	774.0	0.0	15321.0	1.0	24665.0	2585.0	656.0	0.0	15487.0	1.0
182	Hungary		2020-07-13	4247	3073	595	295561.0	295561.0	295561.0	0.0	0	4102.0	434.0	145.0	4234.0	3036.0	595.0	294425.0	140.0	0.0	4189.0	2860.0	589.0	286083.0	113.0	0.0
183	Iceland		2020-07-13	1900	1871	10	67918.0	0.0	67792.0	126.0	1	1823.0	0.0	19.0	1896.0	1865.0	10.0	67855.0	21.0	1.0	1866.0	1840.0	10.0	67022.0	16.0	0.0
184	India		2020-07-13	906752	571460	23727	11806256.0	11806256.0	11806256.0	0.0	0	440215.0	0.0	311565.0	878254.0	553471.0	23174.0	11587153.0	301609.0	0.0	719664.0	439934.0	20159.0	9969662.0	259571.0	0.0
221	Indonesia		2020-07-13	76981	36689	3656	630149.0	630149.0	630149.0	0.0	0	46845.0	6500.0	30136.0	75699.0	35638.0	3606.0	621087.0	29808.0	0.0	64958.0	29919.0	3241.0	552084.0	25664.0	0.0
222	Iran		2020-07-13	259652	222539	13032	1997967.0	1997967.0	1997967.0	0.0	0	207525.0	0.0	24081.0	257303.0	219993.0	12829.0	1972207.0	24481.0	0.0	243051.0	204083.0	11731.0	1820003.0	27237.0	0.0
223	Iraq		2020-07-13	79735	46998	3250	0.0	0.0	0.0	0.0	1	32676.0	0.0	29487.0	77506.0	44724.0	3150.0	0.0	29632.0	1.0	62275.0	34741.0	2567.0	0.0	24967.0	1.0
